#It's a pandas dataFrame file.
#
#rp: Projected radial separation in covoming units of h^{-1} Mpc 
#Remaining columns are in the format - zbin_{x}_stelM_thresh_{y} 
#where 
#	x: "redshift bin" taking values of either 1 for [0.30,0.55] bin or 2 for [0.55,0.80] bin.
#	y: "log of stellar mass threshod in units of h^{-2} Msun" taking values between 8.6-11.2
#
rp,zbin_1_stelM_thresh_8.6,zbin_1_stelM_thresh_8.8,zbin_1_stelM_thresh_9.0,zbin_1_stelM_thresh_9.2,zbin_1_stelM_thresh_9.4,zbin_1_stelM_thresh_9.6,zbin_1_stelM_thresh_9.8,zbin_1_stelM_thresh_10.0,zbin_1_stelM_thresh_10.2,zbin_1_stelM_thresh_10.4,zbin_1_stelM_thresh_10.6,zbin_1_stelM_thresh_10.8,zbin_1_stelM_thresh_11.0
0.1239379,7.273864239060327,8.338316072710045,9.42008441908689,10.51207993473249,11.613066463694096,12.959999484719845,14.775448323813297,16.913190178334663,19.517437993014955,24.073790461884652,27.442939374570795,35.43826395704183,48.78482938568146
0.1832741,5.1333662470766335,5.764933815337658,6.385332343994389,7.114776620327197,8.16662140259861,9.107467700617102,10.224891113258318,11.047549479247635,12.067582419433514,14.81403541421253,16.979996594584765,22.95438026200313,31.74274121145127
0.271018,4.196587551101289,4.592203516068477,5.181787869346302,5.6462230084692,6.366506081951493,7.137545017621625,7.660793848559868,8.86126030515442,9.913600313417641,10.965877022662497,13.075472015525076,15.144020304192003,14.35853345937785
0.4007699,2.9722793332112367,3.4193534885365544,3.7213927833854306,4.089059233744202,4.481230961624557,4.964140229939088,5.33686740368532,5.960405653434349,6.694123785082932,7.759759034150367,8.454317739584384,9.850158664119066,11.122746490815294
0.5926415,2.862760600340385,3.169949808763117,3.4634954483645544,3.6420949974103745,3.9450876403982287,4.333685300902701,4.774233188804781,5.098514317242268,5.533908059322124,6.134900450264739,6.895196131088125,7.977655935044952,10.5939671778964
0.8763732,2.283890234216704,2.462116890697072,2.682622709174608,2.911505747762144,3.119620925031054,3.313885758423941,3.5453450491415177,3.7502792531095217,4.025153745999445,4.3567344742502705,4.908178318296462,5.686790998792518,5.889169055332669
1.295944,1.9604094726252534,2.1117575560254074,2.2489281231283,2.370804113578209,2.500733463671221,2.639357256156798,2.7613525360404374,2.8664072970205865,2.961336176304135,3.156160251330055,3.5373042106946104,3.877464308283243,4.506769648779373
1.916386,1.4840404243637837,1.5546502594166878,1.68044819242465,1.756679478195463,1.849623926456656,1.9341099154944856,1.9717357170878518,2.0385612917617326,2.1795894772219584,2.2854096667127513,2.5571411948965723,2.722413220194065,2.9129255091591206
2.833871,1.0783223326560751,1.1223381593837896,1.1531084557802262,1.1939559013799652,1.2274814819838082,1.2712754618907862,1.331223202193296,1.3421848478073548,1.428933587858511,1.49030126545624,1.5637317143196696,1.5593831655524424,1.5872924558431403
4.190608,0.8062936428715579,0.8332883831108256,0.8575593667409835,0.8867024733124467,0.9146970871507989,0.9113120260720051,0.9407688439019328,0.9723853064633009,1.0103458901302005,1.0863346039402075,1.158292332711555,1.3696827214229408,1.3745016319744314
