# 0:bincenter 1:Deltasigma_num 2:Sumwls 3:Sumwlsms 4:SumwlsResp 5:DeltaSigma 6:Sumwls_by_sumwl 7:rmin/2+rmax/2 8:DeltaSigma_cross 9:Sum_srcwt_per_lens 10:TotalSum_srcwt 11:SN_ErrDeltaSigma 12:SN_ErrDeltaSigma_cross 13:Total_pairs 14:R2_selnbias 15:sumct_num
-9.150515e-01 4.461322e+00 2.151058e-01 1.839003e-01 1.793941e-01 1.455009e+01 1.183051e-06 1.239379e-01 -2.601974e-01 3.129582e-01 5.690300e+04 1.528077e+00 1.520224e+00 5.690300e+04 1.352872e-02  -1.050038e-03
-7.451545e-01 6.055186e+00 4.580928e-01 3.913971e-01 3.819633e-01 9.278539e+00 2.519444e-06 1.832741e-01 -4.650532e-01 6.672533e-01 1.213220e+05 1.046223e+00 1.045353e+00 1.213220e+05 1.374542e-02  -5.667793e-04
-5.752575e-01 1.038479e+01 9.756884e-01 8.338163e-01 8.136557e-01 7.467607e+00 5.366144e-06 2.710180e-01 -6.130552e-01 1.423533e+00 2.588310e+05 7.154617e-01 7.147714e-01 2.588310e+05 1.365356e-02  -1.976016e-04
-4.053605e-01 1.636434e+01 2.092948e+00 1.787826e+00 1.745243e+00 5.487181e+00 1.151091e-05 4.007699e-01 2.847956e-01 3.052942e+00 5.550950e+05 4.880032e-01 4.881214e-01 5.550950e+05 1.356808e-02  2.177721e-03
-2.354635e-01 1.967883e+01 4.517552e+00 3.858944e+00 3.766976e+00 3.052428e+00 2.484588e-05 5.926415e-01 4.919751e-01 6.591300e+00 1.198450e+06 3.317662e-01 3.318808e-01 1.198450e+06 1.349745e-02  2.078436e-02
-6.556650e-02 3.499516e+01 9.744024e+00 8.322147e+00 8.125187e+00 2.519370e+00 5.359071e-05 8.763732e-01 -2.218300e-01 1.420695e+01 2.583151e+06 2.260606e-01 2.258353e-01 2.583151e+06 1.373200e-02  1.717607e-02
1.043305e-01 3.561870e+01 2.091202e+01 1.786481e+01 1.743804e+01 1.190481e+00 1.150131e-04 1.295944e+00 2.267433e-01 3.045731e+01 5.537839e+06 1.541344e-01 1.541063e-01 5.537839e+06 1.357012e-02  8.957655e-02
2.742275e-01 6.269501e+01 4.477099e+01 3.825729e+01 3.733437e+01 9.808102e-01 2.462339e-04 1.916386e+00 1.595703e-01 6.519850e+01 1.185459e+07 1.053827e-01 1.053161e-01 1.185459e+07 1.357788e-02  6.846593e-02
4.441245e-01 1.002398e+02 9.620399e+01 8.220204e+01 8.022295e+01 7.293928e-01 5.291079e-04 2.833871e+00 -1.424192e-01 1.401260e+02 2.547814e+07 7.187244e-02 7.187099e-02 2.547814e+07 1.346109e-02  1.466198e-01
6.140215e-01 1.631301e+02 2.063975e+02 1.763584e+02 1.721109e+02 5.516940e-01 1.135156e-03 4.190608e+00 -6.014605e-02 3.006105e+02 5.465791e+07 4.906411e-02 4.905596e-02 5.465791e+07 1.343540e-02  5.179629e-01
#OK
