# ################################################################################################
# It's a pandas dataFrame file.
# 
# rp: Projected radial separation in covoming units of h^{-1} Mpc 
# Remaining columns are in the format - zbin_{x}_stelM_thresh_{y} 
# where 
# 	x: "redshift bin" taking values of either 1 for [0.30,0.55] bin or 2 for [0.55,0.80] bin.
# 	y: "log of stellar mass threshod in units of h^{-2} Msun" taking values between 8.6-11.2
#################################################################################################
rp,zbin_2_stelM_thresh_9.0,zbin_2_stelM_thresh_9.2,zbin_2_stelM_thresh_9.4,zbin_2_stelM_thresh_9.6,zbin_2_stelM_thresh_9.8,zbin_2_stelM_thresh_10.0,zbin_2_stelM_thresh_10.2,zbin_2_stelM_thresh_10.4,zbin_2_stelM_thresh_10.6,zbin_2_stelM_thresh_10.8,zbin_2_stelM_thresh_11.0,zbin_2_stelM_thresh_11.2
0.1239379,8.67421781462282,9.539261597641097,11.312284493974314,12.710405721916393,14.310920460344638,16.185549870731563,18.562834886346824,21.9029446503183,24.490929458894893,28.05563323713035,31.232392755895003,44.96032525469356
0.1832741,6.746065480812257,7.6117628844807905,8.281864000541233,8.950243468373225,10.001149120663664,11.184941135147412,12.517434586589719,14.015187115528759,15.801595801474447,18.72365771613674,25.770413693420046,23.933626463649535
0.271018,4.3758984826201335,4.755407973744397,5.28669840665657,5.713839633142633,6.345579434461553,7.1160641511802885,7.886352884936479,9.160018353772154,11.044625723241593,13.167760269646159,14.427757348893518,19.525881838592973
0.4007699,3.456721875165755,3.7382051761165815,4.31304911322931,4.7640030036625465,5.389010671616087,5.943945910100887,6.640395638167936,7.739679047074963,9.13007153558224,10.940792220759356,13.232729354246553,13.609929705423937
0.5926415,2.6425073363945293,2.869757886266458,3.0976576975591175,3.437071183171873,3.7388335725804436,4.067689209221377,4.523570686720843,5.13958781664509,5.623514605900302,6.595491309680968,8.849529654590762,9.02609992074183
0.8763732,1.8916526729531415,2.0665555124587134,2.3005408040832775,2.5143093763615396,2.680308219893696,2.9623476682128884,3.268641381590333,3.618574770484313,4.0222729080962205,5.109450336290447,5.868070249460679,6.070556876015795
1.295944,1.4577316366141124,1.6593753517706762,1.7670354323089539,1.8627673143489343,2.0169866469789928,2.1664177739990627,2.2970578363382925,2.641081161325306,2.9044390499558252,3.392865941554377,3.9239177905063363,4.3230897389471945
1.916386,1.0099893191056115,1.070539779424907,1.1307706672850408,1.1912112851920642,1.3029259664501762,1.4108462907922068,1.497333246705412,1.6733126666477376,1.6757681215749978,2.0721305565111643,2.169796239233058,3.314171044637348
2.833871,0.7135255684864618,0.7780100528080707,0.8298707946437354,0.8639715382446531,0.8892386027676632,0.9168816562127386,0.9983957210964135,1.0877340754353169,1.172171497968002,1.4390468032672779,1.707802028423046,1.8590459653285087
4.190608,0.6323042478323917,0.6575977653812854,0.680990877344386,0.7023014609815705,0.7287533266098254,0.7709793276607869,0.8302572094292531,0.9051863010224295,0.960867761399453,1.1498962764860388,1.3510933560547282,1.4014567923238819
