stelM_thresh,logMmin_50,err_logMmin_16,err_logMmin_84,siglogM_50,err_siglogM_16,err_siglogM_84,logM1_50,err_logM1_16,err_logM1_84,alpha_50,err_alpha_16,err_alpha_84,logM0_50,err_logM0_16,err_logM0_84,cfac_50,err_cfac_16,err_cfac_84,fsat_50,fsat_16,fsat_84,ngal_50,ngal_16,ngal_84,avmass_50,avmass_16,avmass_84
8.8,11.315069968925481,-0.09071952175175468,0.17064293384883378,0.33758529897712997,-0.23071991784536955,0.2877447242844505,12.949047967372367,-0.12366606473069197,0.1165487979113724,1.4369468546307675,-0.12468959235033994,0.13147229756381829,9.4986637417116,-2.3982634535041623,2.3596412565647817,1.0526925799921307,-0.16246206078110637,0.17492794400854295,0.13971375802079988,-0.024896295330809504,0.03130795621414051,25.34158385950231,-3.14086322122482,2.867846022112739,12.099499799405491,-0.03772042225516792,0.044946831097648854
9.0,11.39890969657691,-0.08876494400953483,0.16603073620855113,0.3325262337092432,-0.22692421321137307,0.280849048390218,12.943436659419687,-0.11271811303982204,0.10722426259081885,1.4147408015936191,-0.11298344899037271,0.1157439854222082,9.496839906768562,-2.4008773224982125,2.3724346997984913,1.0705936664755369,-0.15975776582446133,0.17204766354429313,0.15870399755721246,-0.026871778637417437,0.032015674931920785,21.6330801930432,-2.8136428694718885,2.504732361111064,12.166380627188756,-0.04141018682211062,0.042946726419637926
9.2,11.470472610455413,-0.08044625170963826,0.14610681474891685,0.30670887757427445,-0.21203919672052973,0.26649274064921324,12.9804187790014,-0.13609307859693587,0.10689065549832577,1.4192696318754374,-0.1361676161403662,0.12006861680980507,9.969692865576599,-2.708373985489592,2.4853982288741054,1.0817617151121015,-0.15281679050756436,0.16986224504148928,0.1591746590209655,-0.027306071907672202,0.03177235803246736,18.235987905652454,-2.151733252129858,2.1326762745571375,12.230021998297856,-0.041010335841365375,0.03948776035204915
9.4,11.573002680000286,-0.07818451636826929,0.1396327222996856,0.2961797326062188,-0.20057565807544606,0.25817957054557056,12.992707468909714,-0.22384418778788628,0.11301601480123225,1.3708452575921768,-0.20217629256306857,0.126623814772149,10.244281087206447,-2.9036969938762205,2.6264492777343147,1.0874787307560692,-0.14998622108000503,0.16677486134444286,0.16833526622127948,-0.03273385445945376,0.036004315843647966,14.760535909855863,-1.8344439737641351,1.7858675042116272,12.311961144382469,-0.04116704177624442,0.04013134652860195
9.6,11.683049856196241,-0.08649450921166668,0.1623401750462392,0.3302351411280037,-0.22172557846601904,0.27467918868352903,13.035788374283214,-0.20186322231744924,0.10859889548502366,1.3519809884905116,-0.1858916795407528,0.1217995790820352,10.246086203540155,-2.8993855893588822,2.570258810935078,1.0864552604619109,-0.15103058800563973,0.16101884836644653,0.17864073691895888,-0.03392678613093547,0.036652369062675993,12.064619945989781,-1.5346133245652105,1.5377276895367584,12.389287581996632,-0.04134103414595636,0.04033139345740011
9.8,11.77421279005896,-0.08995688371996557,0.16069395217379068,0.3459067662027483,-0.231837691871024,0.26224279451468935,13.095748840595606,-0.19386841933081733,0.1090095132082407,1.3607909133525928,-0.18573364295814554,0.12696116662529677,10.284810728929862,-2.935770605898516,2.5148744795674727,1.1196431770579265,-0.1499892533810393,0.15605713042963676,0.1783484368812185,-0.03295013542290681,0.03632577111099278,10.00707391821312,-1.2621105165793751,1.2911517178469996,12.454270515599847,-0.03899627198941502,0.041750145306728825
10.0,11.925459584129758,-0.10610801514279622,0.19660556154353692,0.4217804652297977,-0.27409042059450955,0.26731642382590065,13.120522712324087,-0.45067571784536575,0.12448377395501176,1.2916247447454483,-0.34847907496626107,0.14202696563329176,10.850040952884138,-3.3322872403703068,2.3161725291079094,1.0980080402810724,-0.148226264929606,0.16063626232933714,0.18310332119591546,-0.03778135644919425,0.04261344018826005,7.674513462061881,-1.040318793277927,1.0018823785962818,12.545366791518926,-0.038993300148234766,0.03902880542756826
10.2,12.281704365471713,-0.19154590012044537,0.21746131730907337,0.6931026071563194,-0.2616348372474029,0.1964687044481983,13.341840998080722,-0.19305267726549502,0.1144159394445392,1.3903502963005918,-0.2244647344886137,0.16296931467429632,10.252869972023108,-2.9165051537306255,2.6759492567376775,1.0691368696355028,-0.15889684910239266,0.18234577556478437,0.1586964522287697,-0.03016566389806452,0.034685116872793076,4.816468446399563,-0.7283664639022979,0.7248984626708945,12.661838957319873,-0.03588275952812481,0.03736579541820184
10.4,12.701233607712409,-0.18298783691241383,0.2006612438875237,0.902785840790523,-0.1548410665111517,0.13779544622788664,13.599365414912628,-0.45825990452725485,0.11791155627583016,1.5388305540421647,-0.48123409735907585,0.24358234059923678,10.902456803228736,-3.341125114545811,2.616199477665191,1.1534795973187586,-0.15823969451453557,0.17099185783614335,0.1100826165610974,-0.02056610623237641,0.025872219039782332,2.676771643711585,-0.4095145701753901,0.4035933571887979,12.784006332114105,-0.03239660941164679,0.03281511182693109
10.6,13.14467123367665,-0.18064681501819635,0.20079759941211783,1.0678078792123484,-0.12355225479329668,0.11855085964732792,13.741697195558839,-0.8298142379999351,0.1322590117210538,1.5695502025360204,-0.7434916927571245,0.3407736039652871,11.374677842309225,-3.6575221765288797,2.422557857154654,1.14771468700442,-0.1554683837633567,0.16978870593162498,0.09902672008384328,-0.01899895352001281,0.025498364083869074,1.4470995917108527,-0.2235874864507793,0.21976335802524052,12.904142522201635,-0.034520678535393756,0.03507306068683036
10.8,13.697997390113173,-0.17129358627132518,0.1897944626178365,1.2088185035153023,-0.09742044747211165,0.0959570919140107,13.990476476258015,-0.637989848201947,0.17282195444595594,1.6174107015386907,-0.8226467758683292,0.6610141990748275,11.06024712091793,-3.4683289425874078,2.7618159331656145,1.1985768604221367,-0.1541113739804143,0.16967459731491297,0.07070037723745337,-0.02156673528663277,0.03275202344900685,0.58909967112688,-0.09108555868797466,0.0909181654940031,13.060513490225553,-0.03370692725873958,0.034152764277074255
11.0,14.439932306239465,-0.17301870368484984,0.1909018205880919,1.3747193377027984,-0.08703598112288957,0.08762373435324733,14.362049628893692,-1.0518224930724251,0.25445911103978425,2.4107759669334667,-1.446113551645433,1.6163835826414577,11.896390468113198,-4.049474832173781,2.793613988056137,1.1742704931435544,-0.16597235725900372,0.17550174906119187,0.027201569129900016,-0.014836665223837532,0.03150256361338976,0.17176913725680576,-0.026336915209328907,0.026495757739211107,13.221862381651087,-0.03942386744380322,0.04040387909621579
